"idtournament","name","town","long_name","date_start","date_end","tour_count","tour_questions","tour_ques_per_tour","questions_total","type_name","main_payment_value","discounted_payment_value","discounted_payment_reason","date_requests_allowed_to","comment","site_url","main_payment_currency","discounted_payment_currency"
"3543","Выборгская русалочка","Выборг","XVII открытый юношеский турнир по интеллектуальным играм «Что? Где? Когда?» и «Брейн-ринг» «Выборгская русалочка» памяти Игоря Степановича Мальского","2015-10-04 10:00:00","2015-10-04 16:00:00","3","12","","36","Обычный","300","0","","","","http://kvint.vbg.ru/","руб",""
"4474","Кубок малых городов","","Кубок малых городов","2017-10-07 10:00:00","2017-10-11 10:00:00","3","12","","36","Синхрон","5","1","Школьные команды","2017-10-10","","http://hatnibusel.wixsite.com/belayarys","$","€"
"4467","Нестерка","Минск","XXIII Международный турнир по интеллектуальным играм «Нестерка 2017»","2017-10-01 11:00:00","2017-10-01 15:00:00","4","15","","60","Обычный","30","25","Студенческие команды","","","http://nesterka.xpunited.by/","$","$"
"4435","Краснодар FM","","Cинхронный турнир по игре «Что? Где? Когда?» «Краснодар FM»","2017-09-16 16:00:00","2017-09-20 16:00:00","3","12","","36","Синхрон","0","","","2017-09-18","","http://chgk-krd.ru/","",""
"2192","Нестерка","Минск","","2012-10-20 00:00:00","2012-10-21 00:00:00","3","20","","60","Обычный","","","","","","","",""
"1940","Нестерка","Минск","","2011-10-21 00:00:00","2011-10-23 00:00:00","3","20","","60","Обычный","","","","","","","",""
"1685","Нестерка","Минск","","2010-11-20 00:00:00","2010-11-21 00:00:00","","","","","Обычный","","","","","","","",""
"1650","Кубок Полесья","Гомель","","2010-10-30 00:00:00","2010-10-31 00:00:00","","","","","Обычный","","","","","","","",""
"557","Нестерка","Минск","","2009-10-17 00:00:00","2009-10-18 00:00:00","","","","","Обычный","","","","","Турнир прислан позже выхода релиза от 1 декабря 2009 и не был учтён в нём.","","",""
"597","Кубок Полесья","Гомель","","2009-09-06 00:00:00","2009-09-06 00:00:00","","","","","Обычный","","","","","","","",""
"477","Мартовский лев","Могилёв","","2009-03-14 00:00:00","2009-03-15 00:00:00","","","","","Обычный","","","","","","","",""
"430","Кубок Беларуси","","","2008-11-30 00:00:00","2008-11-30 00:00:00","","","","","Синхрон","","","","","","","",""
"349","Кубок Полесья","Гомель","","2006-09-29 00:00:00","2006-10-01 00:00:00","","","","","Обычный","","","","","","","",""
